Temps,Taille,Nombre de cellule
250.1,10000,534
255.3,10000,554
249.0,10000,510
253.7,10000,497
248.2,10000,493
255.9,10000,491
247.3,10000,462
252.7,10000,471
245.7,10000,474
253.5,10000,487
247.2,10000,491
254.6,10000,478
247.4,10000,500
274.4,10000,475
256.3,10000,507
248.5,10000,494
255.0,10000,485
251.1,10000,500
255.9,10000,505
248.6,10000,476
264.0,10000,506
260.1,10000,477
247.5,10000,489
255.1,10000,460
247.4,10000,457
257.0,10000,429
245.2,10000,440
251.6,10000,418
253.9,10000,442
252.4,10000,435
247.8,10000,460
252.7,10000,446
246.4,10000,452
257.7,10000,450
273.7,10000,439
247.8,10000,425
254.1,10000,435
246.5,10000,450
249.9,10000,426
248.9,10000,433
254.7,10000,428
254.9,10000,428
253.4,10000,443
249.6,10000,428
245.7,10000,436
282.6,10000,433
250.3,10000,433
250.5,10000,437
251.7,10000,444
248.5,10000,454
257.0,10000,469
247.7,10000,495
257.2,10000,452
248.9,10000,456
249.8,10000,471
245.5,10000,455
253.1,10000,471
257.4,10000,469
253.4,10000,462
255.1,10000,463
249.8,10000,475
247.1,10000,452
252.0,10000,437
255.4,10000,456
246.0,10000,477
254.9,10000,459
247.8,10000,478
252.6,10000,481
250.2,10000,484
247.3,10000,488
271.9,10000,515
262.1,10000,506
245.6,10000,519
256.2,10000,514
260.3,10000,490
247.1,10000,512
249.7,10000,493
254.0,10000,490
246.3,10000,507
252.9,10000,498
253.3,10000,528
245.1,10000,496
251.4,10000,494
256.0,10000,493
246.2,10000,486
252.6,10000,489
275.3,10000,480
262.2,10000,522
251.5,10000,482
262.7,10000,527
254.9,10000,485
255.0,10000,504
287.2,10000,475
257.9,10000,518
252.6,10000,532
252.5,10000,564
254.6,10000,521
253.5,10000,533
263.7,10000,549
271.5,10000,510
248.7,10000,516
255.7,10000,507
246.8,10000,486
262.5,10000,495
261.4,10000,470
255.1,10000,496
254.8,10000,485
300.8,10000,483
244.6,10000,506
249.4,10000,488
249.8,10000,492
247.6,10000,469
252.5,10000,496
250.3,10000,484
260.0,10000,509
245.4,10000,506
250.4,10000,510
260.4,10000,530
246.8,10000,523
269.8,10000,506
258.3,10000,499
248.0,10000,515
251.7,10000,498
251.9,10000,513
261.0,10000,506
259.8,10000,507
